cycle,senate,won,raised_total_1M,Dem,Other,Repub,state_rank
2010,0,0,0.068372,0,0,1,2
2014,0,1,0.480208,1,0,0,13
2014,0,0,0.0129,0,1,0,35
2010,0,0,2.791013,1,0,0,10
2014,0,0,0.02356,0,0,1,39
2014,0,0,0.010248,1,0,0,32
2010,0,1,0.865957,1,0,0,23
2014,0,0,0.014332,1,0,0,45
2014,0,0,0.030223,1,0,0,13
2010,0,0,0.004295,0,1,0,13
2014,0,1,4.513737,1,0,0,21
2010,0,0,0.023864,0,0,1,22
2010,0,0,0.045192,0,0,1,29
2010,0,1,0.507504,0,0,1,47
2014,0,0,0.013136,0,0,1,32
2014,0,0,0.101502,0,0,1,39
2010,0,0,0.031369,1,0,0,36
2014,0,0,0.071513,1,0,0,35
2014,0,0,0.131838,1,0,0,11
2014,0,0,0.235871,1,0,0,35
2014,0,0,0.149989,0,0,1,9
2014,0,0,0.15839,1,0,0,44
2010,0,1,1.022614,1,0,0,24
2000,0,0,0.0,1,0,0,28
2010,0,0,2.284371,0,0,1,19
2010,0,0,0.06413,1,0,0,15
2014,0,1,3.444904,0,0,1,15
2010,0,0,0.231286,0,0,1,38
2014,0,1,1.186628,0,0,1,13
2010,0,0,0.009927,0,1,0,28
2010,0,0,0.001906,0,1,0,20
2014,0,0,0.031593,0,0,1,43
2014,0,1,0.826203,1,0,0,19
2000,0,0,0.0,1,0,0,28
2010,0,0,0.001,0,0,1,30
2000,0,0,0.0,1,0,0,28
2014,0,0,0.027273,1,0,0,4
2010,0,0,0.068348,0,0,1,35
2000,0,0,0.0,0,0,1,28
2010,0,0,0.007269,0,1,0,10
2010,0,1,1.441696,1,0,0,16
2010,0,1,1.441696,1,0,0,16
2014,0,0,0.012477,0,1,0,22
2014,0,0,0.008045,1,0,0,35
2010,0,1,1.244758,0,0,1,29
2000,0,0,0.0,1,0,0,28
2014,0,0,0.015347,0,0,1,32
2010,0,0,0.477479,1,0,0,7
2010,0,0,0.297194,0,0,1,30
2014,0,0,0.00678,0,1,0,29
2010,0,1,0.721194,0,0,1,35
2010,0,0,0.002035,0,0,1,16
2014,0,1,0.971434,1,0,0,35
2010,0,0,0.001515,1,0,0,35
2014,0,0,0.072705,0,0,1,19
2010,0,1,1.007196,0,0,1,23
2014,0,0,0.014759,0,0,1,30
2010,0,0,0.792453,0,0,1,23
2014,0,0,0.023571,0,0,1,38
2010,0,0,0.049792,0,0,1,13
2014,0,0,0.000299,0,1,0,32
2010,0,0,0.033674,0,0,1,35
2010,0,0,0.225536,0,0,1,27
